"","ensembl_gene_id","external_gene_name","log2FoldChange.04h_RNA","log2FoldChange.08h_RNA","log2FoldChange.14h_RNA","padj.04h_RNA","padj.08h_RNA","padj.14h_RNA","cluster"
"1","ENSG00000027001","MIPEP",0.0252171986744277,-0.294086211221605,-1.03191631016602,0.964157398305347,0.311800106507129,0.000336504849185367,"4"
"2","ENSG00000150459","SAP18",0.184808676932498,1.42387980260277,2.90801195174305,0.113264640762678,1.01058618877953e-66,5.83539942082023e-289,"3"
"3","ENSG00000132963","POMP",0.0610419150156799,0.633469088996777,1.12261609669212,0.768156891575101,1.99680587855674e-10,2.88919364028245e-31,"3"
"4","ENSG00000196199","MPHOSPH8",0.0753133508131256,0.739913263308484,1.47736823177468,0.812266389274237,1.5791385378611e-06,3.98788879039201e-24,"3"
"5","ENSG00000165480","SKA3",-0.0121284003113643,-0.900889249278454,-1.46238659412312,0.974508174244507,1.86410310576007e-10,1.47683384602053e-20,"4"
"6","ENSG00000133101","CCNA1",0.531324587161781,6.39848074317597,7.53146525341091,0.00215299664258481,0,0,"1"
"7","ENSG00000132952","USPL1",0.17910345824959,0.60344680126795,1.56521834649919,0.440099956060715,0.000132192666063991,4.46118429749339e-27,"3"
"8","ENSG00000189403","HMGB1",0.0241064835179343,-0.501076117156026,-1.9262675914673,0.933663250718265,2.44344524803875e-06,3.46418702123433e-57,"4"
"9","ENSG00000120694","HSPH1",-0.065684445532655,0.843668118405198,2.16380707927271,0.78827673042212,2.69971783895473e-14,2.32944069556565e-94,"3"
"10","ENSG00000083635","NUFIP1",-0.0358761293287822,0.73315913508026,1.65464410706401,0.940298018179436,0.000683635637321988,1.78322294365835e-16,"3"
"11","ENSG00000154639","CXADR",-0.017010040415641,0.617532578856996,4.22735758099364,0.9748009603247,0.213254496555985,1.38332962530917e-21,"2"
"12","ENSG00000275993","SIK1B",-2.94106850023669,-3.08823192778605,-1.50716670650046,4.85981591695329e-12,1.1931285966724e-12,1.16766437184101e-05,"5"
"13","ENSG00000165475","CRYL1",-0.0616034746116159,-0.329793412715965,-2.31441054274464,0.88945780611199,0.24843355775824,1.48410753408388e-10,"4"
"14","ENSG00000156265","MAP3K7CL",-0.300752729345755,-0.78532778934726,-2.50775419755289,0.0474101895416933,3.83419795536116e-09,5.43389945699602e-47,"4"
"15","ENSG00000158270","COLEC12",0.234075255850527,0.773681382549266,5.4213283938395,0.338495624746586,0.222592172550868,6.91718425673242e-12,"2"
"16","ENSG00000141401","IMPA2",-0.428055348080631,-2.21257095194899,-2.94666556919333,0.182626853873585,2.55105168569426e-08,2.50208849449135e-09,"5"
"17","ENSG00000102743","SLC25A15",0.227010148481065,-0.346008916323612,-1.42561137656128,0.467172944823211,0.244056692128707,7.0257973840205e-06,"4"
"18","ENSG00000133110","POSTN",0.143467800922701,0.578772986910087,1.17027468521521,0.201358936434818,2.80330457832456e-13,5.70579461487124e-52,"3"
"19","ENSG00000156256","USP16",0.0922807047616033,0.245552743202017,1.41364848152625,0.633443122999881,0.0319024401352208,2.77238905703285e-48,"3"
"20","ENSG00000243927","MRPS6",-0.0864045033676851,-0.646418107812436,-1.30068428169928,0.82215362307897,0.00717143825494755,7.30140057752034e-07,"4"
"21","ENSG00000168502","MTCL1",-0.706213913194791,-2.013327299208,-0.635116286951197,5.09720079978838e-05,2.87371362523476e-25,0.000258526819609044,"4"
"22","ENSG00000102531","FNDC3A",0.157633964072688,0.125193577838656,1.6564517020815,0.177149930048209,0.223018041371568,9.47922590044265e-96,"3"
"23","ENSG00000168461","RAB31",0.222400627772949,-0.519376320605391,-1.69934536220202,0.0791268581826328,1.49158872580344e-06,3.06416603477407e-41,"4"
"24","ENSG00000136169","SETDB2",0.5390302455588,0.760463731355483,1.64457750465583,0.0167738665337796,0.000322193695130203,6.03430219410806e-17,"3"
"25","ENSG00000141447","OSBPL1A",0.0952405307191988,0.56904435358711,1.06872018208828,0.795884457051472,0.00728308941511126,7.68909830478659e-08,"3"
"26","ENSG00000183722","LHFPL6",0.27664213262601,1.04095066911039,0.63371510594649,0.0329789503068499,2.87941569724326e-24,5.9105776132583e-09,"3"
"27","ENSG00000179630","LACC1",0.0897902222923483,0.828565377627609,2.11182798124883,0.836032954367414,0.00205532334879505,8.50871006643673e-18,"3"
"28","ENSG00000136147","PHF11",-0.126566561809033,-0.950599686761821,-2.00904633001334,0.74010062387024,0.000636753184335836,2.14160417738004e-09,"4"
"29","ENSG00000198743","SLC5A3",-0.286143031349223,-1.30840992111407,-0.266731023897486,0.140371424248955,1.72818408331409e-14,0.124767201856142,"4"
"30","ENSG00000156304","SCAF4",0.108969147079545,0.234616291983653,1.8533832620417,0.701245418002462,0.197024710075575,2.49672497955851e-39,"3"
"31","ENSG00000133116","KL",2.44225083859327,1.39965721798906,3.89954557081751,0.0312271082782609,0.0878845217269508,0.000441210047846319,"2"
"32","ENSG00000156261","CCT8",0.0614724019017252,0.426087891401435,1.10810243102922,0.701863914482869,5.86275425533319e-08,5.02508400683044e-50,"3"
"33","ENSG00000176105","YES1",-0.0308429872943225,0.221193033293503,1.08732620169339,0.891624077586601,0.0249613948232447,4.84752094148375e-36,"3"
"34","ENSG00000198862","LTN1",0.146940624607075,0.945845035360631,1.68797030967799,0.321489907945351,7.59566921806547e-24,2.07801241520779e-76,"3"
"35","ENSG00000120690","ELF1",0.150371630371977,1.2071058459266,2.83357905671962,0.418133735920501,1.41346436759323e-27,1.38076533074636e-162,"3"
"36","ENSG00000177663","IL17RA",-0.287777652545515,-1.11244304164532,-0.213262289670315,0.237466962825154,3.29021460395843e-07,0.347278928892178,"4"
"37","ENSG00000136111","TBC1D4",0.0436866461399274,-1.00227738472783,-0.586384963878395,0.912450449184062,1.79657434605208e-07,0.00248516243749685,"4"
"38","ENSG00000078142","PIK3C3",-0.0187291143332782,0.109563168456079,1.50143548348258,0.954116042835296,0.420243995382173,5.00752189219417e-52,"3"
"39","ENSG00000136158","SPRY2",1.0503914731721,1.30758980732864,0.38365949103008,1.41098263177415e-20,2.27398458536482e-32,0.00251398649373487,"3"
"40","ENSG00000099917","MED15",-0.126423703959032,0.211729934764597,1.05164780867631,0.514580942564656,0.108984108580077,2.07002635449045e-21,"3"
"41","ENSG00000102554","KLF5",0.71405050531054,2.3477715849312,3.68449634070427,3.96826990637901e-09,9.70368359168829e-108,3.36709763665122e-277,"2"
"42","ENSG00000121390","PSPC1",-0.0885455617500956,0.785697032675362,2.57670959675548,0.75815572117424,2.40195743839599e-08,3.84644820807445e-89,"3"
"43","ENSG00000088451","TGDS",1.1550498594939,0.885554407096791,-0.165860674566779,2.53333072552791e-08,2.47329383119716e-05,0.542270768419605,"3"
"44","ENSG00000102755","FLT1",0.0378209155722054,0.215532954888997,4.44496562503097,0.802068591788926,0.638380583854212,0.00034181554013501,"2"
"45","ENSG00000154642","C21orf91",2.61942932555043,3.37762155526551,4.65678431281773,8.05318401846817e-103,2.67000427271493e-177,0,"2"
"46","ENSG00000125827","TMX4",0.307663539455086,0.827925886043012,1.03805446010933,0.00501020989504581,4.52140626514837e-19,2.7746138441751e-29,"3"
"47","ENSG00000159256","MORC3",0.0424897602112869,0.642731189897024,1.92119214850381,0.88945780611199,3.12357857355682e-07,1.13064850527785e-62,"3"
"48","ENSG00000099953","MMP11",0.0541372501360355,-0.51314602925275,-2.1501751892287,0.907429134193433,0.307066538674371,0.0025112204178358,"4"
"49","ENSG00000133119","RFC3",0.360795276516786,1.11183259738538,1.55693088415532,0.0130254101725939,5.52218018463387e-20,1.02976698543701e-38,"3"
"50","ENSG00000169548","ZNF280A",2.33231415028728,7.33681780486095,10.0546114739085,0.00125128060431394,5.63995818369392e-29,1.16812884499605e-53,"1"
